Date,EXV1.DE,EXV2.DE,EXV3.DE,EXV5.DE,EXV6.DE
2014-06-06,14.472454071044922,19.720232009887695,25.251739501953125,37.979671478271484,28.472402572631836
2014-06-09,14.578569412231445,19.883750915527344,25.31450843811035,37.90778350830078,28.69815444946289
2014-06-10,14.498476028442383,19.82488441467285,25.413150787353516,37.73526382446289,28.53396987915039
2014-06-11,14.358131408691406,19.66790771484375,25.269676208496094,37.55552673339844,28.547643661499023
2014-06-12,14.332115173339844,19.726776123046875,25.36831283569336,37.55552673339844,28.09613609313965
2014-06-13,14.304726600646973,19.68753433227539,25.278636932373047,37.28234100341797,28.17823028564453
2014-06-16,14.178078651428223,19.49785614013672,25.26071548461914,37.152950286865234,28.21927833557129
2014-06-17,14.22942066192627,19.491308212280273,25.386249542236328,37.38298797607422,28.3287410736084
2014-06-18,14.167807579040527,19.654827117919922,25.484886169433594,37.390159606933594,28.472402572631836
2014-06-19,14.163019180297852,19.7071533203125,25.54765510559082,37.66334533691406,28.69815444946289
2014-06-20,14.000082969665527,19.530555725097656,25.45798683166504,37.562721252441406,28.766551971435547
2014-06-23,13.947362899780273,19.44552230834961,25.502819061279297,37.17450714111328,29.06072998046875
2014-06-24,13.841256141662598,19.4259033203125,25.377277374267578,37.188880920410156,28.85549545288086
2014-06-25,13.721444129943848,19.295085906982422,24.9737491607666,36.92289352416992,28.39029884338379
2014-06-26,13.56057071685791,19.465147018432617,24.89305305480957,36.70003128051758,28.58185386657715
2014-06-27,13.565361022949219,19.43243980407715,24.910982131958008,36.78628921508789,28.520288467407227
2014-06-30,13.45787239074707,19.373579025268555,24.857173919677734,36.64971160888672,28.445043563842773
2014-07-01,13.719400405883789,19.58942222595215,25.153095245361328,37.160118103027344,29.16334342956543
2014-07-02,13.741989135742188,19.347415924072266,25.224838256835938,37.390159606933594,29.416467666625977
2014-07-03,13.889174461364746,19.491308212280273,25.529722213745117,37.71367645263672,30.05267333984375
2014-07-04,13.733088493347168,19.44552230834961,25.520750045776367,37.577091217041016,30.06635856628418
